Sequence,Support,Relative Frequency
{Okužba s Covid-19},12,1.0
{Drugi delavci},12,1.0
{Sum na okužbo},12,1.0
{Vzgojitelj},12,1.0
{Učitelj},12,1.0
{srednje},12,1.0
"{Drugi delavci}, {Drugi delavci}",11,0.9166666666666666
"{Okužba s Covid-19, srednje}",12,1.0
"{srednje}, {Vzgojitelj}",12,1.0
"{Drugi delavci}, {Učitelj}",11,0.9166666666666666
"{Drugi delavci, srednje}",12,1.0
"{Drugi delavci, Okužba s Covid-19}",12,1.0
"{Drugi delavci}, {Sum na okužbo}",11,0.9166666666666666
"{Sum na okužbo, srednje}",12,1.0
"{Učitelj}, {srednje}",12,1.0
"{Učitelj}, {Okužba s Covid-19}",11,0.9166666666666666
"{Učitelj}, {Drugi delavci}",11,0.9166666666666666
"{Drugi delavci}, {Vzgojitelj}",11,0.9166666666666666
"{Okužba s Covid-19, Učitelj}",12,1.0
"{Učitelj, srednje}",12,1.0
"{Učitelj}, {Učitelj}",12,1.0
"{Okužba s Covid-19, Vzgojitelj}",11,0.9166666666666666
"{Sum na okužbo, Učitelj}",12,1.0
"{Sum na okužbo}, {srednje}",12,1.0
"{srednje}, {Učitelj}",12,1.0
"{Sum na okužbo}, {Okužba s Covid-19}",12,1.0
"{Vzgojitelj}, {srednje}",11,0.9166666666666666
"{Učitelj}, {Sum na okužbo}",11,0.9166666666666666
"{srednje}, {srednje}",12,1.0
"{Okužba s Covid-19}, {srednje}",12,1.0
"{Učitelj}, {Vzgojitelj}",11,0.9166666666666666
"{Sum na okužbo, Vzgojitelj}",11,0.9166666666666666
"{Okužba s Covid-19}, {Okužba s Covid-19}",12,1.0
"{srednje}, {Okužba s Covid-19}",12,1.0
"{srednje}, {Drugi delavci}",12,1.0
"{Okužba s Covid-19}, {Drugi delavci}",12,1.0
"{Sum na okužbo}, {Učitelj}",11,0.9166666666666666
"{Sum na okužbo}, {Sum na okužbo}",11,0.9166666666666666
"{Okužba s Covid-19}, {Učitelj}",11,0.9166666666666666
"{Drugi delavci}, {srednje}",12,1.0
"{Drugi delavci}, {Okužba s Covid-19}",12,1.0
"{Sum na okužbo}, {Vzgojitelj}",11,0.9166666666666666
"{srednje}, {Sum na okužbo}",11,0.9166666666666666
"{Učitelj}, {Okužba s Covid-19}, {srednje}",11,0.9166666666666666
"{Učitelj}, {Okužba s Covid-19}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo}, {srednje}, {Sum na okužbo}",11,0.9166666666666666
"{Učitelj}, {Drugi delavci, srednje}",11,0.9166666666666666
"{Učitelj}, {Sum na okužbo, srednje}",11,0.9166666666666666
"{Učitelj, srednje}, {srednje}",12,1.0
"{Sum na okužbo, Učitelj}, {Okužba s Covid-19}",11,0.9166666666666666
"{Okužba s Covid-19, Učitelj, srednje}",12,1.0
"{Učitelj}, {Učitelj, srednje}",12,1.0
"{Okužba s Covid-19}, {Okužba s Covid-19, srednje}",12,1.0
"{Sum na okužbo, Učitelj, srednje}",11,0.9166666666666666
"{Učitelj, srednje}, {Učitelj}",11,0.9166666666666666
"{Sum na okužbo}, {Učitelj, srednje}",11,0.9166666666666666
"{Učitelj}, {Sum na okužbo}, {srednje}",11,0.9166666666666666
"{Drugi delavci}, {Učitelj, srednje}",11,0.9166666666666666
"{Drugi delavci}, {Sum na okužbo}, {srednje}",11,0.9166666666666666
"{Sum na okužbo, srednje}, {srednje}",12,1.0
"{Drugi delavci}, {Sum na okužbo}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo, srednje}, {Okužba s Covid-19}",12,1.0
"{Učitelj}, {Okužba s Covid-19, srednje}",11,0.9166666666666666
"{Sum na okužbo}, {srednje}, {Vzgojitelj}",11,0.9166666666666666
"{Učitelj}, {Drugi delavci}, {srednje}",11,0.9166666666666666
"{Učitelj}, {Drugi delavci}, {Okužba s Covid-19}",11,0.9166666666666666
"{srednje}, {srednje}, {Drugi delavci}",11,0.9166666666666666
"{Okužba s Covid-19}, {srednje}, {srednje}",11,0.9166666666666666
"{Okužba s Covid-19}, {srednje}, {Okužba s Covid-19}",11,0.9166666666666666
"{Okužba s Covid-19}, {Drugi delavci}, {srednje}",11,0.9166666666666666
"{Okužba s Covid-19}, {Drugi delavci}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo}, {Sum na okužbo, srednje}",11,0.9166666666666666
"{Sum na okužbo}, {Sum na okužbo}, {srednje}",11,0.9166666666666666
"{srednje}, {srednje}, {Vzgojitelj}",11,0.9166666666666666
"{srednje}, {Učitelj}, {srednje}",11,0.9166666666666666
"{srednje}, {Učitelj}, {Okužba s Covid-19}",11,0.9166666666666666
"{Drugi delavci}, {Okužba s Covid-19, srednje}",11,0.9166666666666666
"{srednje}, {Učitelj, srednje}",12,1.0
"{Sum na okužbo}, {Okužba s Covid-19}, {srednje}",12,1.0
"{Sum na okužbo}, {Okužba s Covid-19}, {Okužba s Covid-19}",11,0.9166666666666666
"{Učitelj}, {srednje}, {srednje}",12,1.0
"{Učitelj}, {srednje}, {Okužba s Covid-19}",11,0.9166666666666666
"{srednje}, {Sum na okužbo}, {srednje}",11,0.9166666666666666
"{srednje}, {Sum na okužbo}, {Okužba s Covid-19}",11,0.9166666666666666
"{Drugi delavci}, {srednje}, {srednje}",11,0.9166666666666666
"{Drugi delavci}, {srednje}, {Okužba s Covid-19}",12,1.0
"{Učitelj}, {Sum na okužbo}, {Sum na okužbo}",11,0.9166666666666666
"{Učitelj}, {srednje}, {Učitelj}",11,0.9166666666666666
"{Drugi delavci, srednje}, {srednje}",11,0.9166666666666666
"{Sum na okužbo, srednje}, {Učitelj}",11,0.9166666666666666
"{srednje}, {Drugi delavci}, {srednje}",11,0.9166666666666666
"{Drugi delavci, srednje}, {Okužba s Covid-19}",12,1.0
"{srednje}, {Drugi delavci}, {Okužba s Covid-19}",11,0.9166666666666666
"{Sum na okužbo, srednje}, {Sum na okužbo}",11,0.9166666666666666
"{Sum na okužbo}, {Okužba s Covid-19, srednje}",12,1.0
