Rule,Confidence
{Okužba s Covid-19} => {Sum na okužbo},1.0
{Drugi strokovni delavec} => {srednje},0.9090909090909091
{Drugi delavci} => {Sum na okužbo},0.9090909090909091
{Učitelj} => {Sum na okužbo},1.0
{Vzgojitelj} => {srednje},0.9090909090909091
{srednje} => {Drugi delavci},0.8333333333333334
{Okužba s Covid-19} => {srednje},1.0
{Drugi delavci} => {srednje},0.9090909090909091
{Sum na okužbo} => {Drugi delavci},0.8333333333333334
{kratko} => {Sum na okužbo},1.0
{Drugi strokovni delavec} => {Učitelj},0.9090909090909091
{Učitelj} => {Drugi strokovni delavec},0.8333333333333334
{kratko} => {Vzgojitelj},1.0
{Učitelj} => {srednje},1.0
{srednje} => {Vzgojitelj},0.8333333333333334
{srednje} => {Sum na okužbo},1.0
{Sum na okužbo} => {Sum na okužbo},1.0
{Okužba s Covid-19} => {Učitelj},0.9166666666666666
{Sum na okužbo} => {Vzgojitelj},0.8333333333333334
{Okužba s Covid-19} => {Okužba s Covid-19},0.9166666666666666
{kratko} => {srednje},1.0
{srednje} => {Drugi strokovni delavec},0.8333333333333334
{Učitelj} => {Učitelj},1.0
{Učitelj} => {Okužba s Covid-19},1.0
{srednje} => {srednje},1.0
{Sum na okužbo} => {Drugi strokovni delavec},0.8333333333333334
{Sum na okužbo} => {srednje},1.0
{kratko} => {Učitelj},1.0
{srednje} => {Učitelj},1.0
{Okužba s Covid-19} => {Drugi delavci},0.8333333333333334
{Drugi strokovni delavec} => {Vzgojitelj},0.9090909090909091
{srednje} => {Okužba s Covid-19},1.0
{Sum na okužbo} => {Učitelj},0.9166666666666666
{Vzgojitelj} => {Sum na okužbo},0.9090909090909091
{Učitelj} => {Drugi delavci},0.8333333333333334
{Sum na okužbo} => {Okužba s Covid-19},1.0
{Okužba s Covid-19} => {Vzgojitelj},0.8333333333333334
"{Sum na okužbo} => {Okužba s Covid-19}, {Učitelj}",0.8333333333333334
"{Sum na okužbo}, {Okužba s Covid-19} => {Učitelj}",0.8333333333333334
"{Učitelj} => {Sum na okužbo}, {Okužba s Covid-19}",0.9166666666666666
"{Učitelj}, {Sum na okužbo} => {Okužba s Covid-19}",0.9166666666666666
"{Okužba s Covid-19, Učitelj} => {srednje}",0.9166666666666666
"{srednje} => {srednje}, {Drugi strokovni delavec}",0.8333333333333334
"{srednje}, {srednje} => {Drugi strokovni delavec}",0.8333333333333334
"{srednje} => {Vzgojitelj, srednje}",0.8333333333333334
"{Drugi delavci, srednje} => {Sum na okužbo}",0.9090909090909091
"{Sum na okužbo, srednje} => {Okužba s Covid-19}",1.0
"{Učitelj} => {Drugi strokovni delavec, Sum na okužbo}",0.8333333333333334
"{Okužba s Covid-19, srednje} => {Vzgojitelj}",0.8333333333333334
"{Sum na okužbo} => {Sum na okužbo}, {Okužba s Covid-19}",0.8333333333333334
"{Sum na okužbo}, {Sum na okužbo} => {Okužba s Covid-19}",0.8333333333333334
"{Okužba s Covid-19} => {Učitelj}, {srednje}",0.8333333333333334
"{Okužba s Covid-19}, {Učitelj} => {srednje}",0.9090909090909091
"{Sum na okužbo} => {Učitelj, srednje}",0.8333333333333334
"{Učitelj, srednje} => {Učitelj}",0.9166666666666666
"{Učitelj} => {Učitelj}, {srednje}",1.0
"{Učitelj}, {Učitelj} => {srednje}",1.0
"{Sum na okužbo} => {srednje}, {Učitelj}",0.8333333333333334
"{Sum na okužbo}, {srednje} => {Učitelj}",0.8333333333333334
"{Sum na okužbo} => {Okužba s Covid-19, Učitelj}",0.8333333333333334
"{Okužba s Covid-19} => {Okužba s Covid-19}, {srednje}",0.9166666666666666
"{Okužba s Covid-19}, {Okužba s Covid-19} => {srednje}",1.0
"{Okužba s Covid-19} => {srednje}, {Sum na okužbo}",0.9166666666666666
"{Okužba s Covid-19}, {srednje} => {Sum na okužbo}",0.9166666666666666
"{Učitelj} => {Sum na okužbo}, {Sum na okužbo}",0.8333333333333334
"{Učitelj}, {Sum na okužbo} => {Sum na okužbo}",0.8333333333333334
"{Sum na okužbo} => {Učitelj}, {Sum na okužbo}",0.9166666666666666
"{Sum na okužbo}, {Učitelj} => {Sum na okužbo}",1.0
"{Okužba s Covid-19, srednje} => {srednje}",1.0
"{Učitelj} => {Sum na okužbo}, {Drugi strokovni delavec}",0.8333333333333334
"{Učitelj}, {Sum na okužbo} => {Drugi strokovni delavec}",0.8333333333333334
"{Drugi strokovni delavec} => {srednje}, {Učitelj}",0.9090909090909091
"{Drugi strokovni delavec}, {srednje} => {Učitelj}",1.0
"{Sum na okužbo, srednje} => {Sum na okužbo}",1.0
"{kratko} => {Sum na okužbo, srednje}",1.0
"{Sum na okužbo} => {Okužba s Covid-19}, {srednje}",1.0
"{Sum na okužbo}, {Okužba s Covid-19} => {srednje}",1.0
"{kratko} => {srednje}, {Učitelj}",1.0
"{kratko}, {srednje} => {Učitelj}",1.0
