Rule,Confidence
{Okužba s Covid-19} => {Sum na okužbo},1.0
{OSNOVNA ŠOLA} => {Sum na okužbo},1.0
{OSNOVNA ŠOLA} => {kratko},0.8333333333333334
{srednje} => {VRTEC},0.8333333333333334
{Okužba s Covid-19} => {srednje},1.0
{OSNOVNA ŠOLA} => {srednje},1.0
{Sum na okužbo} => {VRTEC},0.8333333333333334
{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA},1.0
{Okužba s Covid-19} => {OSNOVNA ŠOLA},1.0
{srednje} => {Sum na okužbo},1.0
{Sum na okužbo} => {Sum na okužbo},0.9166666666666666
{srednje} => {kratko},0.8333333333333334
{OSNOVNA ŠOLA} => {Okužba s Covid-19},0.8333333333333334
{Okužba s Covid-19} => {Okužba s Covid-19},0.9090909090909091
{Sum na okužbo} => {kratko},0.8333333333333334
{srednje} => {srednje},1.0
{srednje} => {OSNOVNA ŠOLA},1.0
{Sum na okužbo} => {srednje},0.9166666666666666
{Sum na okužbo} => {OSNOVNA ŠOLA},0.9166666666666666
{OSNOVNA ŠOLA} => {VRTEC},0.8333333333333334
{srednje} => {Okužba s Covid-19},0.8333333333333334
{Sum na okužbo} => {Okužba s Covid-19},0.8333333333333334
"{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA, srednje}",0.9166666666666666
"{Sum na okužbo, srednje} => {Okužba s Covid-19}",0.8333333333333334
"{srednje} => {OSNOVNA ŠOLA, kratko}",0.8333333333333334
"{OSNOVNA ŠOLA} => {Sum na okužbo}, {Sum na okužbo}",0.8333333333333334
"{OSNOVNA ŠOLA}, {Sum na okužbo} => {Sum na okužbo}",0.8333333333333334
"{Sum na okužbo} => {Sum na okužbo, VRTEC}",0.8333333333333334
"{Okužba s Covid-19} => {srednje}, {Sum na okužbo}",0.9090909090909091
"{Okužba s Covid-19}, {srednje} => {Sum na okužbo}",0.9090909090909091
"{Okužba s Covid-19, srednje} => {srednje}",1.0
"{OSNOVNA ŠOLA} => {Okužba s Covid-19}, {Okužba s Covid-19}",0.8333333333333334
"{OSNOVNA ŠOLA}, {Okužba s Covid-19} => {Okužba s Covid-19}",1.0
"{Sum na okužbo, srednje} => {Sum na okužbo}",0.9166666666666666
"{OSNOVNA ŠOLA, Sum na okužbo} => {VRTEC}",0.8333333333333334
"{OSNOVNA ŠOLA} => {srednje}, {srednje}",0.8333333333333334
"{OSNOVNA ŠOLA}, {srednje} => {srednje}",0.8333333333333334
"{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA}, {VRTEC}",0.8333333333333334
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA} => {VRTEC}",0.8333333333333334
"{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA, Sum na okužbo}",0.8333333333333334
"{Sum na okužbo} => {Okužba s Covid-19}, {OSNOVNA ŠOLA}",0.8333333333333334
"{Sum na okužbo}, {Okužba s Covid-19} => {OSNOVNA ŠOLA}",1.0
"{Sum na okužbo} => {Sum na okužbo, srednje}",0.9166666666666666
"{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA}, {Sum na okužbo}",0.9166666666666666
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA} => {Sum na okužbo}",0.9166666666666666
"{srednje} => {OSNOVNA ŠOLA}, {Okužba s Covid-19}",0.8333333333333334
"{srednje}, {OSNOVNA ŠOLA} => {Okužba s Covid-19}",0.8333333333333334
"{OSNOVNA ŠOLA, Sum na okužbo} => {kratko}",0.8333333333333334
"{Sum na okužbo} => {Okužba s Covid-19, srednje}",0.8333333333333334
"{Sum na okužbo} => {srednje}, {srednje}",0.8333333333333334
"{Sum na okužbo}, {srednje} => {srednje}",0.9090909090909091
"{OSNOVNA ŠOLA} => {OSNOVNA ŠOLA}, {kratko}",0.8333333333333334
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA} => {kratko}",0.8333333333333334
"{OSNOVNA ŠOLA, Sum na okužbo} => {srednje}",0.9166666666666666
"{OSNOVNA ŠOLA, srednje} => {Okužba s Covid-19}",0.8333333333333334
"{srednje} => {srednje}, {srednje}",0.8333333333333334
"{srednje}, {srednje} => {srednje}",0.8333333333333334
"{OSNOVNA ŠOLA, Sum na okužbo} => {OSNOVNA ŠOLA}",0.9166666666666666
